"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","18.7","19.7","19","23.1","23.9","20.6","35.6","8.3","31.8","13.6","32.6","23.7","15.4","","","","","","22","286"
"2","Josh Allen","QB","BUF","38.8","11.8","23","25.9","20.4","17.4","BYE","23.2","28.8","20.3","44.7","10.1","17.7","","","","","","23.5","282.2"
"3","Jonathan Taylor","RB","IND","11.3","28.5","31.3","12.1","30.1","21.7","32.7","36.4","6.7","48.1","BYE","7.6","13.6","","","","","","23.3","280.1"
"4","Patrick Mahomes II","QB","KC","26","23.1","13.2","27.3","27.7","31.5","26.2","25","11.5","BYE","14.3","18.1","29.4","","","","","","22.8","273.3"
"5","Jalen Hurts","QB","PHI","24.3","11.5","29","19.4","19.5","21.6","24","25.4","BYE","12","14.5","30.9","17.3","","","","","","20.8","249.5"
"6","Dak Prescott","QB","DAL","7.8","23.1","14","31","28.3","22.3","23.3","8.6","16.4","BYE","24.3","28.1","21.6","","","","","","20.7","248.8"
"7","Jahmyr Gibbs","RB","DET","10","17.9","24.4","16.7","15.7","7","35.3","BYE","4.3","36.7","17.1","49.9","10.1","","","","","","20.4","245.1"
"8","Drake Maye","QB","NE","16.3","26.3","20.2","23.2","12.1","27.2","23.1","27.3","17.4","19.1","15.4","17","-","","","","","","20.4","244.6"
"9","Matthew Stafford","QB","LAR","13.6","18.3","14.8","27.4","25.6","9.3","27.4","BYE","26.8","26.9","13.2","22.9","13.6","","","","","","20","239.9"
"10","Daniel Jones","QB","IND","29.5","22.8","15.8","12.4","16.7","23.5","22.2","23.2","17.1","16.5","BYE","16.8","16.1","","","","","","19.4","232.6"
"11","Justin Herbert","QB","LAC","27.9","18.8","15.6","14.5","15.6","18.8","29.9","26.3","28.7","14.7","4.3","BYE","13.8","","","","","","19.1","229"
"12","Bijan Robinson","RB","ATL","21.4","18.3","13.6","26.1","BYE","32.8","18.2","4.3","13.6","9.8","28.3","13.7","27.8","","","","","","19","227.9"
"13","Caleb Williams","QB","CHI","24.2","18","29.1","12.8","BYE","19.9","5.7","12.8","37.7","25.1","10.3","21.7","10.5","","","","","","19","227.7"
"14","De'Von Achane","RB","MIA","15","22.2","12.6","16.6","13.6","29","11.3","17.6","13.6","37.5","19","BYE","19.4","","","","","","19","227.4"
"15","Bo Nix","QB","DEN","8.8","21.2","13.4","26.7","17.9","13.4","40","24.8","19.5","7.8","12.6","BYE","17.4","","","","","","18.6","223.6"
