"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Josh Allen","QB","BUF","38.8","11.8","23","25.9","20.4","17.4","BYE","23.2","28.8","20.3","44.7","10.1","17.7","","","","","","23.5","282.2"
"2","Patrick Mahomes II","QB","KC","26","23.1","13.2","27.3","27.7","31.5","26.2","25","11.5","BYE","14.3","18.1","29.4","","","","","","22.8","273.3"
"3","Jonathan Taylor","RB","IND","9.8","27.5","29.8","9.6","28.6","19.7","31.2","35.4","5.7","46.6","BYE","6.6","12.1","","","","","","21.9","262.6"
"4","Jalen Hurts","QB","PHI","24.3","11.5","29","19.4","19.5","21.6","24","25.4","BYE","12","14.5","30.9","17.3","","","","","","20.8","249.5"
"5","Dak Prescott","QB","DAL","7.8","23.1","14","31","28.3","22.3","23.3","8.6","16.4","BYE","24.3","28.1","21.6","","","","","","20.7","248.8"
"6","Drake Maye","QB","NE","15.8","26.3","20.2","23.2","12.1","27.2","23.1","27.3","17.4","19.1","15.4","17","-","","","","","","20.3","244.1"
"7","Christian McCaffrey","RB","SF","14.2","16.7","14","20.1","19.9","17.1","32.1","6.8","29.3","9.6","30.1","20.2","13.4","","","","","","18.7","243.5"
"8","Matthew Stafford","QB","LAR","13.6","18.3","14.8","27.4","25.6","9.3","27.4","BYE","26.8","26.9","13.2","22.9","13.6","","","","","","20","239.9"
"9","Daniel Jones","QB","IND","29.5","22.8","15.8","12.4","16.7","23.5","22.2","23.2","17.1","16.5","BYE","16.8","16.1","","","","","","19.4","232.6"
"10","Justin Herbert","QB","LAC","27.9","18.8","15.6","14.5","15.6","18.8","29.9","26.3","28.7","14.7","4.3","BYE","13.8","","","","","","19.1","229"
"11","Caleb Williams","QB","CHI","24.2","18","29.1","12.8","BYE","19.9","5.7","12.8","36.7","25.1","10.3","21.7","10.5","","","","","","18.9","226.7"
"12","Bo Nix","QB","DEN","8.8","21.2","13.4","26.7","17.9","13.4","40","24.8","19.5","7.8","12.6","BYE","17.4","","","","","","18.6","223.6"
"13","Jahmyr Gibbs","RB","DET","5","16.4","21.9","15.7","14.7","6.5","33.8","BYE","2.8","35.2","14.6","44.4","8.6","","","","","","18.3","219.6"
"14","Jared Goff","QB","DET","11.9","34","12.7","13.7","20.1","16.8","11.3","BYE","19.4","24.8","13.1","18.2","20.6","","","","","","18.1","216.6"
"15","Trevor Lawrence","QB","JAC","11.3","21.2","8.8","11.7","27.2","19.2","17.6","BYE","22.2","10.8","16","20.1","21.7","","","","","","17.3","207.9"
